,runID,module,name,value,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
0,Filas-5-20231214-09:15:50-4703,RedeFilas.sink1,Ave delay,0.67765387687532,Filas,20231214-09:15:50,20231214-091550,Filas,redes.ini,"$0=0.7, $1=1.3, $2=0.7, $3=1.7",0.7/1.3/0.7/1.7,"0.7,1.3,0.7,1.7-","$0=0.7, $1=1.3, $2=0.7, $3=1.7",RedeFilas,4703,0,#0,results,5,5
1,Filas-14-20231214-09:15:52-4748,RedeFilas.sink2,Ave delay,1.4142338567582,Filas,20231214-09:15:52,20231214-091552,Filas,redes.ini,"$0=0.8, $1=1.3, $2=1.5, $3=0.9",0.8/1.3/1.5/0.9,"0.8,1.3,1.5,0.9-","$0=0.8, $1=1.3, $2=1.5, $3=0.9",RedeFilas,4748,0,#0,results,14,14
