cubic-100000-400m,20230922000150.537,10.0.1.20,42644,10.0.2.20,5001,3,0.0-602.0,6717571072,89269794
cubic-100000-800m,20230922001209.999,10.0.1.20,53276,10.0.2.20,5001,3,0.0-602.0,3941203968,52374546
cubic-1000000-400m,20230922002228.466,10.0.1.20,52246,10.0.2.20,5001,3,0.0-602.0,42314104832,562306077
cubic-1000000-800m,20230922003246.959,10.0.1.20,48924,10.0.2.20,5001,3,0.0-602.0,13024755712,173085523
reno-100000-400m,20230922004305.436,10.0.1.20,33872,10.0.2.20,5001,3,0.0-602.0,5238292480,69607483
reno-100000-800m,20230922005324.512,10.0.1.20,47352,10.0.2.20,5001,3,0.0-602.6,4223401984,56066954
reno-1000000-400m,20230922010342.365,10.0.1.20,42054,10.0.2.20,5001,3,0.0-602.0,42303356928,562160883
reno-1000000-800m,20230922011400.865,10.0.1.20,50548,10.0.2.20,5001,3,0.0-602.0,13044416512,173347586
cubic-100000-400m,20230922012420.615,10.0.1.20,48380,10.0.2.20,5001,3,0.0-602.3,6491340800,86223917
cubic-100000-800m,20230922013438.746,10.0.1.20,55260,10.0.2.20,5001,3,0.0-602.0,4039245824,53675755
cubic-1000000-400m,20230922014457.183,10.0.1.20,54082,10.0.2.20,5001,3,0.0-602.0,42272161792,561748559
cubic-1000000-800m,20230922015515.703,10.0.1.20,57362,10.0.2.20,5001,3,0.0-602.0,13027508224,173122830
reno-100000-400m,20230922020534.186,10.0.1.20,35022,10.0.2.20,5001,3,0.0-602.1,5309988864,70550022
reno-100000-800m,20230922021552.935,10.0.1.20,59216,10.0.2.20,5001,3,0.0-602.5,4349493248,57751603
reno-1000000-400m,20230922022610.837,10.0.1.20,53724,10.0.2.20,5001,3,0.0-602.0,42354212864,562844128
reno-1000000-800m,20230922023629.229,10.0.1.20,42596,10.0.2.20,5001,3,0.0-602.0,13038911488,173265883
cubic-100000-400m,20230922024647.561,10.0.1.20,47732,10.0.2.20,5001,3,0.0-602.0,6993346560,92934074
cubic-100000-800m,20230922025707.242,10.0.1.20,40952,10.0.2.20,5001,3,0.0-603.3,4106878976,54456589
cubic-1000000-400m,20230922030724.242,10.0.1.20,52404,10.0.2.20,5001,3,0.0-602.0,42354081792,562842965
cubic-1000000-800m,20230922031742.551,10.0.1.20,51866,10.0.2.20,5001,3,0.0-602.0,13023444992,173062810
reno-100000-400m,20230922032800.896,10.0.1.20,56572,10.0.2.20,5001,3,0.0-602.1,5340790784,70965530
reno-100000-800m,20230922033819.727,10.0.1.20,41284,10.0.2.20,5001,3,0.0-602.5,4216717312,55986482
reno-1000000-400m,20230922034837.540,10.0.1.20,36172,10.0.2.20,5001,3,0.0-602.0,42313580544,562303485
reno-1000000-800m,20230922035855.892,10.0.1.20,49226,10.0.2.20,5001,3,0.0-602.0,13037338624,173252442
cubic-100000-400m,20230922040914.276,10.0.1.20,53490,10.0.2.20,5001,3,0.0-602.0,6650200064,88374520
cubic-100000-800m,20230922041932.689,10.0.1.20,42652,10.0.2.20,5001,3,0.0-602.0,4042391552,53717758
cubic-1000000-400m,20230922042951.057,10.0.1.20,53952,10.0.2.20,5001,3,0.0-602.0,42269147136,561702612
cubic-1000000-800m,20230922044009.453,10.0.1.20,42576,10.0.2.20,5001,3,0.0-602.0,13018988544,173007093
reno-100000-400m,20230922045028.200,10.0.1.20,58336,10.0.2.20,5001,3,0.0-602.4,5267652608,69956916
reno-100000-800m,20230922050046.293,10.0.1.20,35468,10.0.2.20,5001,3,0.0-602.1,4332978176,57571367
reno-1000000-400m,20230922051104.521,10.0.1.20,48430,10.0.2.20,5001,3,0.0-602.0,42363781120,562964583
reno-1000000-800m,20230922052122.870,10.0.1.20,53926,10.0.2.20,5001,3,0.0-602.0,13035241472,173220481
cubic-100000-400m,20230922053141.244,10.0.1.20,55650,10.0.2.20,5001,3,0.0-602.0,6681001984,88783905
cubic-100000-800m,20230922054200.019,10.0.1.20,36426,10.0.2.20,5001,3,0.0-602.4,4074635264,54108690
cubic-1000000-400m,20230922055217.908,10.0.1.20,46266,10.0.2.20,5001,3,0.0-602.0,42320789504,562388384
cubic-1000000-800m,20230922060236.291,10.0.1.20,38640,10.0.2.20,5001,3,0.0-602.0,13016104960,172967208
reno-100000-400m,20230922061254.641,10.0.1.20,37712,10.0.2.20,5001,3,0.0-602.0,5606604800,74503726
