cubic-100000-400m,20230922000150.781,10.0.2.20,5001,10.0.1.20,42644,4,0.0-602.2,6717571072,89233240
cubic-100000-800m,20230922001210.045,10.0.2.20,5001,10.0.1.20,53276,4,0.0-602.0,3941203968,52370975
cubic-1000000-400m,20230922002228.505,10.0.2.20,5001,10.0.1.20,52246,4,0.0-602.0,42314104832,562273173
cubic-1000000-800m,20230922003246.979,10.0.2.20,5001,10.0.1.20,48924,4,0.0-602.0,13024755712,173080893
reno-100000-400m,20230922004305.450,10.0.2.20,5001,10.0.1.20,33872,4,0.0-602.1,5238292480,69605753
reno-100000-800m,20230922005324.527,10.0.2.20,5001,10.0.1.20,47352,4,0.0-602.6,4223401984,56066244
reno-1000000-400m,20230922010342.394,10.0.2.20,5001,10.0.1.20,42054,4,0.0-602.0,42303356928,562135921
reno-1000000-800m,20230922011400.886,10.0.2.20,5001,10.0.1.20,50548,4,0.0-602.0,13044416512,173341042
cubic-100000-400m,20230922012420.858,10.0.2.20,5001,10.0.1.20,48380,4,0.0-602.5,6491340800,86189224
cubic-100000-800m,20230922013438.763,10.0.2.20,5001,10.0.1.20,55260,4,0.0-602.0,4039245824,53674601
cubic-1000000-400m,20230922014457.210,10.0.2.20,5001,10.0.1.20,54082,4,0.0-602.0,42272161792,561715865
cubic-1000000-800m,20230922015515.730,10.0.2.20,5001,10.0.1.20,57362,4,0.0-602.0,13027508224,173114345
reno-100000-400m,20230922020534.209,10.0.2.20,5001,10.0.1.20,35022,4,0.0-602.1,5309988864,70547350
reno-100000-800m,20230922021552.995,10.0.2.20,5001,10.0.1.20,59216,4,0.0-602.6,4349493248,57746640
reno-1000000-400m,20230922022610.861,10.0.2.20,5001,10.0.1.20,53724,4,0.0-602.0,42354212864,562820244
reno-1000000-800m,20230922023629.258,10.0.2.20,5001,10.0.1.20,42596,4,0.0-602.1,13038911488,173257627
cubic-100000-400m,20230922024647.598,10.0.2.20,5001,10.0.1.20,47732,4,0.0-602.0,6993346560,92928083
cubic-100000-800m,20230922025707.250,10.0.2.20,5001,10.0.1.20,40952,4,0.0-603.3,4106878976,54455748
cubic-1000000-400m,20230922030724.267,10.0.2.20,5001,10.0.1.20,52404,4,0.0-602.0,42354081792,562819759
cubic-1000000-800m,20230922031742.577,10.0.2.20,5001,10.0.1.20,51866,4,0.0-602.0,13023444992,173057323
