cubic-100000-400m,20230918214639.107,10.0.2.20,5001,10.0.1.20,52070,4,0.0-8.1,78905344,77934128
cubic-100000-800m,20230918214702.582,10.0.2.20,5001,10.0.1.20,46174,4,0.0-7.1,55705600,63078650
cubic-10000000-400m,20230918214725.837,10.0.2.20,5001,10.0.1.20,32856,4,0.0-7.0,498073600,565911216
cubic-10000000-800m,20230918214749.192,10.0.2.20,5001,10.0.1.20,50776,4,0.0-7.1,153878528,173594771
reno-100000-400m,20230918214812.726,10.0.2.20,5001,10.0.1.20,51366,4,0.0-7.3,63832064,70176830
reno-100000-800m,20230918214835.928,10.0.2.20,5001,10.0.1.20,56820,4,0.0-7.1,54001664,60437612
reno-10000000-400m,20230918214859.256,10.0.2.20,5001,10.0.1.20,41836,4,0.0-7.1,498860032,565688089
reno-10000000-800m,20230918214922.789,10.0.2.20,5001,10.0.1.20,45328,4,0.0-7.2,158072832,176428423
cubic-100000-400m,20230918214946.266,10.0.2.20,5001,10.0.1.20,51152,4,0.0-7.2,87162880,96338415
cubic-100000-800m,20230918215009.649,10.0.2.20,5001,10.0.1.20,51662,4,0.0-7.2,35913728,40079456
cubic-10000000-400m,20230918215032.981,10.0.2.20,5001,10.0.1.20,44554,4,0.0-7.1,498335744,565477102
cubic-10000000-800m,20230918215056.283,10.0.2.20,5001,10.0.1.20,50778,4,0.0-7.0,156237824,177793660
reno-100000-400m,20230918215119.585,10.0.2.20,5001,10.0.1.20,46582,4,0.0-7.1,66322432,75131251
reno-100000-800m,20230918215142.945,10.0.2.20,5001,10.0.1.20,59668,4,0.0-7.1,76808192,86255752
reno-10000000-400m,20230918215206.134,10.0.2.20,5001,10.0.1.20,56696,4,0.0-7.0,497811456,566038318
reno-10000000-800m,20230918215229.447,10.0.2.20,5001,10.0.1.20,51422,4,0.0-7.1,159514624,180962657
cubic-100000-400m,20230918215252.708,10.0.2.20,5001,10.0.1.20,54624,4,0.0-7.0,90570752,103359913
cubic-100000-800m,20230918215315.966,10.0.2.20,5001,10.0.1.20,48486,4,0.0-7.0,63569920,72476575
cubic-10000000-400m,20230918215339.274,10.0.2.20,5001,10.0.1.20,48752,4,0.0-7.0,497680384,566036026
cubic-10000000-800m,20230918215402.552,10.0.2.20,5001,10.0.1.20,51160,4,0.0-7.1,152174592,172349623
reno-100000-400m,20230918215426.383,10.0.2.20,5001,10.0.1.20,44372,4,0.0-7.6,90308608,95519760
reno-100000-800m,20230918215449.113,10.0.2.20,5001,10.0.1.20,52908,4,0.0-7.0,55050240,62723066
reno-10000000-400m,20230918215512.425,10.0.2.20,5001,10.0.1.20,58208,4,0.0-7.0,497156096,565266465
reno-10000000-800m,20230918215535.715,10.0.2.20,5001,10.0.1.20,54208,4,0.0-7.0,160038912,181820302
cubic-100000-400m,20230918215559.649,10.0.2.20,5001,10.0.1.20,40938,4,0.0-7.7,63700992,66061373
cubic-100000-800m,20230918215622.244,10.0.2.20,5001,10.0.1.20,35994,4,0.0-7.0,55967744,63865485
cubic-10000000-400m,20230918215645.539,10.0.2.20,5001,10.0.1.20,37822,4,0.0-7.0,499515392,567437682
cubic-10000000-800m,20230918215708.927,10.0.2.20,5001,10.0.1.20,43076,4,0.0-7.1,153747456,172571198
reno-100000-400m,20230918215732.197,10.0.2.20,5001,10.0.1.20,48186,4,0.0-7.0,74711040,85123531
reno-100000-800m,20230918215755.560,10.0.2.20,5001,10.0.1.20,60298,4,0.0-7.0,52428800,59672309
reno-10000000-400m,20230918215818.928,10.0.2.20,5001,10.0.1.20,38290,4,0.0-7.0,496762880,564198333
reno-10000000-800m,20230918215842.283,10.0.2.20,5001,10.0.1.20,40692,4,0.0-7.1,158334976,179338647
cubic-100000-400m,20230918215905.529,10.0.2.20,5001,10.0.1.20,55638,4,0.0-7.0,92012544,104803078
cubic-100000-800m,20230918215928.855,10.0.2.20,5001,10.0.1.20,37878,4,0.0-7.0,55443456,63023425
cubic-10000000-400m,20230918215952.175,10.0.2.20,5001,10.0.1.20,45072,4,0.0-7.0,497287168,565909333
cubic-10000000-800m,20230918220015.459,10.0.2.20,5001,10.0.1.20,38110,4,0.0-7.0,153354240,174595259
reno-100000-400m,20230918220038.773,10.0.2.20,5001,10.0.1.20,47654,4,0.0-7.1,54263808,61191901
reno-100000-800m,20230918220102.124,10.0.2.20,5001,10.0.1.20,60792,4,0.0-7.1,64225280,72045908
reno-10000000-400m,20230918220125.289,10.0.2.20,5001,10.0.1.20,49858,4,0.0-7.0,497418240,564976025
reno-10000000-800m,20230918220148.599,10.0.2.20,5001,10.0.1.20,53322,4,0.0-7.0,159252480,180809209
cubic-100000-400m,20230918220212.673,10.0.2.20,5001,10.0.1.20,58296,4,0.0-7.8,88866816,90740644
cubic-100000-800m,20230918220235.630,10.0.2.20,5001,10.0.1.20,57634,4,0.0-7.4,67239936,72451967
cubic-10000000-400m,20230918220258.718,10.0.2.20,5001,10.0.1.20,56556,4,0.0-7.1,498597888,565107189
cubic-10000000-800m,20230918220322.152,10.0.2.20,5001,10.0.1.20,41148,4,0.0-7.1,152698880,172010038
reno-100000-400m,20230918220345.882,10.0.2.20,5001,10.0.1.20,57208,4,0.0-7.4,70909952,76717235
reno-100000-800m,20230918220409.349,10.0.2.20,5001,10.0.1.20,52066,4,0.0-7.4,50987008,54843846
reno-10000000-400m,20230918220432.290,10.0.2.20,5001,10.0.1.20,41030,4,0.0-7.0,497942528,566014390
reno-10000000-800m,20230918220455.608,10.0.2.20,5001,10.0.1.20,55462,4,0.0-7.0,158990336,180426824
cubic-100000-400m,20230918220521.185,10.0.2.20,5001,10.0.1.20,37822,4,0.0-9.3,80097568,68689584
cubic-100000-800m,20230918220542.505,10.0.2.20,5001,10.0.1.20,57974,4,0.0-7.0,46268416,52697850
cubic-10000000-400m,20230918220605.785,10.0.2.20,5001,10.0.1.20,57782,4,0.0-7.0,499122176,567288481
cubic-10000000-800m,20230918220629.080,10.0.2.20,5001,10.0.1.20,57616,4,0.0-7.0,157417472,178724745
reno-100000-400m,20230918220653.416,10.0.2.20,5001,10.0.1.20,57470,4,0.0-8.1,65273856,64369353
reno-100000-800m,20230918220715.833,10.0.2.20,5001,10.0.1.20,60448,4,0.0-7.2,74448896,82571770
reno-10000000-400m,20230918220738.923,10.0.2.20,5001,10.0.1.20,56624,4,0.0-7.0,497942528,565651428
reno-10000000-800m,20230918220802.205,10.0.2.20,5001,10.0.1.20,34960,4,0.0-7.0,160694272,182914730
cubic-100000-400m,20230918220825.811,10.0.2.20,5001,10.0.1.20,44386,4,0.0-7.3,74055680,80656266
