cubic-100000-400m,20230921214931.062,10.0.1.20,50710,10.0.2.20,5001,3,0.0-7.0,83623936,95560847
cubic-100000-800m,20230921214954.376,10.0.1.20,42448,10.0.2.20,5001,3,0.0-7.0,49283072,56274021
cubic-1000000-400m,20230921215017.655,10.0.1.20,38034,10.0.2.20,5001,3,0.0-7.0,496500736,566096901
cubic-1000000-800m,20230921215040.924,10.0.1.20,46600,10.0.2.20,5001,3,0.0-7.0,154271744,176198602
reno-100000-400m,20230921215104.355,10.0.1.20,46742,10.0.2.20,5001,3,0.0-7.2,71434240,79550886
reno-100000-800m,20230921215127.625,10.0.1.20,36520,10.0.2.20,5001,3,0.0-7.1,54001664,60489562
reno-1000000-400m,20230921215150.760,10.0.1.20,49878,10.0.2.20,5001,3,0.0-7.0,498204672,567871664
reno-1000000-800m,20230921215214.088,10.0.1.20,37930,10.0.2.20,5001,3,0.0-7.0,160694272,182905309
cubic-100000-400m,20230921215237.340,10.0.1.20,42450,10.0.2.20,5001,3,0.0-7.0,89260032,102005927
cubic-100000-800m,20230921215301.183,10.0.1.20,45146,10.0.2.20,5001,3,0.0-7.6,25034752,26520015
cubic-1000000-400m,20230921215323.899,10.0.1.20,40066,10.0.2.20,5001,3,0.0-7.0,494665728,565080234
cubic-1000000-800m,20230921215347.211,10.0.1.20,53568,10.0.2.20,5001,3,0.0-7.0,153092096,174425513
reno-100000-400m,20230921215410.549,10.0.1.20,45062,10.0.2.20,5001,3,0.0-7.1,60293120,68317216
reno-100000-800m,20230921215433.785,10.0.1.20,49772,10.0.2.20,5001,3,0.0-7.0,41811968,47576334
reno-1000000-400m,20230921215457.052,10.0.1.20,47044,10.0.2.20,5001,3,0.0-7.0,497418240,567779538
reno-1000000-800m,20230921215520.317,10.0.1.20,58490,10.0.2.20,5001,3,0.0-7.0,160825344,183334592
cubic-100000-400m,20230921215543.643,10.0.1.20,56016,10.0.2.20,5001,3,0.0-7.0,95289344,108520039
cubic-100000-800m,20230921215607.255,10.0.1.20,44476,10.0.2.20,5001,3,0.0-7.4,39976960,43347880
cubic-1000000-400m,20230921215630.251,10.0.1.20,34772,10.0.2.20,5001,3,0.0-7.0,497418240,567635779
cubic-1000000-800m,20230921215653.526,10.0.1.20,59222,10.0.2.20,5001,3,0.0-7.0,153223168,174993296
reno-100000-400m,20230921215716.824,10.0.1.20,56800,10.0.2.20,5001,3,0.0-7.0,88735744,100850770
reno-100000-800m,20230921215740.254,10.0.1.20,47652,10.0.2.20,5001,3,0.0-7.2,65404928,72732924
